country_name,country,party,populist,right-wing,valence,left-wing,party_id,eu_position,eu_position_sd,eu_salience,eu_dissent,eu_blur,eu_cohesion,eu_foreign,eu_intmark,eu_budgets,eu_asylum,lrgen,lrecon,lrecon_sd,lrecon_salience,lrecon_dissent,lrecon_blur,galtan,galtan_sd,galtan_salience,galtan_dissent,galtan_blur,immigrate_policy,immigrate_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,redistribution,redist_salience,environment,enviro_salience,spendvtax,deregulation,econ_interven,civlib_laworder,sociallifestyle,religious_principles,ethnic_minorities,nationalism,urban_rural,protectionism,regions,russian_interference,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,eu_econ_require,eu_political_require,eu_googov_require
Austria,13,SPO,0,0,0,0,1301,6.0999999,0.56764621,5.5999999,3.5,3.625,4.8333335,5.3333335,4.8888888,4.5555553,4.8000002,4,3.5999999,0.96609181,6.9000001,3.375,5.5,3.8,1.0327955,4,3,5.125,4.6999998,4.5999999,6.4000001,4.0999999,4.6999998,5.5,2.4000001,8.3000002,4.9000001,4.9000001,2.5,2.7,2.7,4.3000002,2.4000001,2.4444444,3.9000001,3.9000001,3.3333333,5.5555553,6,2.4285715,2.2,3.3,2.2,5,7.5555553,,,
Austria,13,OVP,0,0,0,0,1302,5,0.81649661,5.0999999,6.5,4.5,4.6666665,3.8888888,6.2222223,3.2222223,1.9,6.9000001,6.9000001,0.73786479,6.9000001,2.75,4.5,7.0999999,0.73786479,5.5,1.5,3.75,8.6000004,8.8999996,3.5999999,8.1000004,8.8000002,2.3,6.1999998,5.4000001,7.0999999,3.8,7.9000001,7.3000002,7,7.9000001,6.1999998,7.5555553,6.9000001,7.3000002,7.8888888,4.1111112,4.1428571,2,6.6999998,4.0999999,3,4,9,,,
Austria,13,FPO,1,1,0,0,1303,2.3,0.48304591,6.3000002,2.5,4.25,2.8333333,1.7777778,3.2222223,1.4444444,1,9.1000004,6.5,1.95789,4.1999998,2.875,7,8.8999996,0.73786479,7.6999998,0.5,1.75,9.8000002,9.6999998,0.5,9.8999996,9.8999996,0.5,5.5999999,5.9000001,8.3999996,3.0999999,6.6999998,6.0999999,6.5,9.3999996,8.3999996,5.8888888,9.1000004,9.8999996,6.3333335,6.1111112,5.7142859,3.875,9.3000002,8.1999998,7.5999999,4.8000002,8.666667,,,
Austria,13,Grune,0,0,0,0,1304,6.5,0.52704626,6.8000002,2,1.625,4.6666665,5.4444447,5,5.2222223,5.9000001,2.5,2.5,0.9718253,4.6999998,2.5,3.5,1.4,0.84327406,6.8000002,0.5,1.5,2.7,6.0999999,2.5999999,1.4,6,1.9,2.5,6.4000001,1.5,10,2.5,2.4000001,2.7,2.0999999,0.5,1.1111112,1.6,1.3,2.4444444,5.8888888,5,2.875,1.4,6,3.3,7.4000001,4.7777777,,,
Austria,13,NEOS,0,0,0,0,1306,6.6999998,0.48304591,7.1999998,1.5,1.5,4.3333335,6.125,6.7777777,5.875,5.5999999,5.9000001,7.0999999,0.99442893,7.4000001,1.75,1.5,2.3,1.4181365,6.4000001,1.5,1.625,4.3000002,4.9000001,2.2222223,3.0999999,4.3000002,2.3333333,6.9000001,6.6999998,5.4000001,5.4000001,7.5999999,8.1000004,8,2.8,1.6,1.5555556,2.5,1.4,1.8888888,2.7777777,6,2.4285715,1.2,5.4444447,3.2,8,5.25,,,
Belgium,1,PS,0,0,0,0,102,6.0833335,0.28867513,4.2727275,2.75,2.1666667,6.25,5.4444447,4.7777777,4.25,5.5555553,2.0833333,2.25,0.62158155,8.166667,2.2,1.1428572,2.9166667,1.3789544,4,2.5,2.75,3.4166667,4.25,3.4000001,3.0833333,4.4545455,3.5,1.5833334,8.166667,4.5,4.3636365,2,2,1.5454545,3.090909,2,1.5,2.6363637,3.4545455,3.3333333,6.2727275,6,0.11111111,2.1111112,3.3636363,2.1818182,1.9090909,7.5,,,
Belgium,1,SP/SPA,0,0,0,0,103,6,0.42640144,4.181818,2.5,1.7142857,6,5.4444447,4.7777777,4.625,5.4444447,3.0833333,3.0833333,0.51492864,7.9166665,2.2,1.4285715,2.75,1.1381804,4.5833335,2.5,2.7777777,4.0833335,4.5,4.181818,3.3333333,5,3.8,2,8.083333,4.2727275,4.3636365,2.6666667,2.2,2,3.6666667,1.9090909,1.6,2.4545455,3.0833333,3,5.7272725,5.3333335,0.11111111,2.2222223,3.5454545,2.090909,1.6363636,6.818182,,,
Belgium,1,ECOLO,0,0,0,0,104,6.5833335,0.51492864,4.818182,2.5,1.4285715,6,5.6666665,4.7777777,4.75,6,2.0833333,2.5,0.90453404,6.25,3.4000001,2,1.0833334,0.79296148,6.2727275,1,1.625,2,6,2,1.75,5.909091,2.7,1.9166666,7,0.91666669,9.363636,2.1666667,2,2.1818182,2,1,1.9,2,1.75,1.8,5.818182,6.1666665,0.11111111,2.8888888,5.6363635,2.4545455,2.3636363,3.909091,,,
Belgium,1,AGALEV,0,0,0,0,105,6.5833335,0.51492864,4.818182,2.5,1.2857143,5.875,5.6666665,4.7777777,4.75,6,2.4166667,2.6666667,0.88762534,6.25,3,2,1.1666666,0.83484709,6.4166665,1,1.6666666,2.25,5.5833335,2.090909,1.9166666,5.818182,2.7,2.25,7,0.83333331,9.5,2.3333333,2.2,2.3636363,2.0833333,0.90909094,1.8,2,1.9166666,1.9,5.909091,6.0833335,0.11111111,2.7777777,5.6363635,2.3636363,2,4,,,
Belgium,1,PRL/MR,0,0,0,0,106,6.5,0.67419988,5.090909,2,1.7142857,5.5,5.7777777,6,5.5,5.6666665,6.5,6.9166665,0.90033662,8.083333,2.4000001,1.2857143,3.1818182,0.98164982,4.4545455,1.5,3.125,5.5833335,4.6666665,4.5999999,4.9166665,4.181818,4.5,5.8333335,6,6.2727275,3.8181818,6.5833335,6.9000001,6.6363635,4.7272725,2.7272727,1.8,4.4545455,3.3333333,4.4444447,2.7272727,6.4166665,0.11111111,2.3333333,4.6363635,1.7272727,1.6363636,7,,,
Belgium,1,VLD/PVV,0,0,0,0,107,6.8333335,0.38924947,5.090909,1.5,1.2857143,5,5.7777777,6.1111112,5.5,5.7777777,6.5833335,7.1666665,0.83484709,8.166667,2.5999999,1.2857143,2.4545455,1.1281521,5.1666665,1.5,2.4444444,5.9166665,4.6666665,4.7272725,4.8333335,4.4545455,4.9000001,6,6,6.25,3.8181818,7.0833335,7.4000001,6.818182,4.8333335,2,1.6,4.3636365,3,3.5555556,2.5454545,5.6666665,0.11111111,2.2222223,5.7272725,1.7272727,1.5454545,6.6363635,,,
Belgium,1,PSC/CDH,0,0,0,0,108,6.4166665,0.79296148,4.3636365,2.3333333,2.1428571,5.375,6,5.5555553,5.875,5.5555553,4.5833335,4.6666665,0.65133893,6.4166665,4.4000001,2.8571429,5,1.0690449,5,3,3.375,4.5,3.8181818,4.125,4.181818,4.5454545,3.6666667,3.9166667,5.9166665,4.7777777,4.5,5.0833335,4.7777777,4.4545455,4.3636365,4.4545455,5.9000001,4.090909,4.090909,6,4.6999998,5.818182,0.11111111,1.75,4.090909,1.7272727,1.5454545,6.6999998,,,
